,text,scrape_time,tweet_id,created_at,reply_count,quote_count,like_count,retweet_count,username,num_followers,search_keywords,search_neighbourhood
20,@RedParker44 @jerryteixeira I recognize that Victoria. In many cities in Canada the social services provide a stipend to the homeless. Last I know it was like $18 a week? Or that’s what it was in Ottawa.,2022-04-11 15:43:08.668693,1512776764421980160,2022-04-09 12:57:41+00:00,0,0,0,0,iceblueaccent,2398,Victoria Homeless,Victoria
21,"@SnoopDogg ""Victoria"" a homeless girl child, selling for 0.039ETH

https://t.co/47xtpUWE0A https://t.co/WmLyD7WcFY",2022-04-11 15:43:08.668693,1512716628512976900,2022-04-09 08:58:43+00:00,0,0,0,0,InfiNorth,188,Victoria Homeless,Victoria
22,"@Adam_Stirling It’s VERY believable, Adam. The Homeless Victoria crew were just waiting for decent weather … those who’re tenting now were (AGAIN) using us over the winter for free warm shelte … now that it’s warmer, they’ll be allowed to steal our Parks again … @Stephen_Andrew @TogetherVic",2022-04-11 15:43:08.668693,1512657283867557889,2022-04-09 05:02:54+00:00,0,0,1,0,therealhaitian1,1928,Victoria Homeless,Victoria
23,"Lucy and her husband organised a 'Ladies Night' raffle in memory of their beloved niece Victoria, who sadly passed away from epilepsy in 2019. They raised a brilliant £300 for Epilepsy Research UK and a Southampton voluntary group helping the homeless: https://t.co/UYV287lSPM https://t.co/s6Z6Uwqc07",2022-04-11 15:43:08.668693,1512420640044863488,2022-04-08 13:22:34+00:00,0,0,7,1,amywhitestripe,150,Victoria Homeless,Victoria
24,"@Silver_Strike @Flattielover @gopisdirty @VinceGottalotta @KsLiberal @jerbear714 @LadyOfTheOcean1 @Vickie627 @akuscg @SaveThe_Ukraine @Frdmlvr3691 @NathanBronson7 @MadeOnKrypton @NatForTrump2024 @PridgeWessea @newsjunky2 @Bigteethyouhave @PhilipEMSkinne1 @Jetson77 @skeeduu @Synyster63 @PalusoSonny @Kittie_Svengali @sd_usn @JoeBro20802650 @victoria_roark @NanetteDonnelly @mmEyeNewMe @RushvilleRockit @Sembrouthes @giddy_bunny @RonVarney3 @jeff77531528 @ItsBT50 @cbessex @CapJ2021 @gurleysgrl @GinniaDivinia @Annie20554592 @BC_Missy @BernFost1 @SpongebobBirth @WisePaxCat @IvankaTrump WTF are you talking about?

Is that what goes on with the homeless in your country?",2022-04-11 15:43:08.668693,1512397611688419330,2022-04-08 11:51:04+00:00,1,0,1,0,GenderReformist,9,Victoria Homeless,Victoria
25,"@Flattielover @gopisdirty @VinceGottalotta @KsLiberal @jerbear714 @LadyOfTheOcean1 @Vickie627 @akuscg @SaveThe_Ukraine @Frdmlvr3691 @ShellyRKirchoff @NathanBronson7 @MadeOnKrypton @NatForTrump2024 @PridgeWessea @newsjunky2 @Bigteethyouhave @PhilipEMSkinne1 @Jetson77 @skeeduu @Synyster63 @PalusoSonny @Kittie_Svengali @sd_usn @JoeBro20802650 @victoria_roark @NanetteDonnelly @mmEyeNewMe @RushvilleRockit @Sembrouthes @giddy_bunny @RonVarney3 @jeff77531528 @ItsBT50 @cbessex @CapJ2021 @gurleysgrl @GinniaDivinia @Annie20554592 @BC_Missy @BernFost1 @SpongebobBirth @WisePaxCat @IvankaTrump Many of them are like a journalist who wants to talk about how homeless people are being beaten on the streets, so they pay someone to beat them and then cry in front of the camera about the atrocities being committed against the homeless.",2022-04-11 15:43:08.668693,1512397009092759552,2022-04-08 11:48:40+00:00,1,0,1,0,resurrectionbae,47,Victoria Homeless,Victoria
26,"@AkanKwaku Nothing’s changed in hundreds of years. Queen Victoria being shielded from the poverty disease in her Royal carriage, when she went about in London. It was so awful, the poor woman wasn’t allowed to “look”.  

Recently, the homeless rounded up and shifted, pre Harry’s wedding.",2022-04-11 15:43:08.668693,1512358919817121793,2022-04-08 09:17:19+00:00,0,0,0,0,TJOlive71853184,1328,Victoria Homeless,Victoria
27,"@NatForTrump2024 @Vickie627 @jerbear714 @KsLiberal @LadyOfTheOcean1 @SaveThe_Ukraine @gopisdirty @Frdmlvr3691 @ShellyRKirchoff @NathanBronson7 @MadeOnKrypton @PridgeWessea @newsjunky2 @Bigteethyouhave @Flattielover @PhilipEMSkinne1 @Jetson77 @skeeduu @Synyster63 @PalusoSonny @Kittie_Svengali @sd_usn @JoeBro20802650 @victoria_roark @akuscg @VinceGottalotta @mmEyeNewMe @RushvilleRockit @Silver_Strike @Sembrouthes @giddy_bunny @RonVarney3 @jeff77531528 @ItsBT50 @cbessex @CapJ2021 @gurleysgrl @GinniaDivinia @Annie20554592 @BC_Missy @BernFost1 @SpongebobBirth @WisePaxCat @IvankaTrump She must be a Walmart greeter. Who wouldn't admit their occupation? I heard she claimed to own senior living centers. I agree, we can track down ""Vickie"" by her occupation? She's unbelievable.  Probably was homeless with Merry.",2022-04-11 15:43:08.668693,1512257988865703938,2022-04-08 02:36:15+00:00,0,0,0,0,imbalaska,5795,Victoria Homeless,Victoria
28,"@_nopurposeflour It had its own problems. The truth is that folks who are homeless for purely financial reasons aren’t the issue. 

The issue is Canada’s federal prison system discharges inmates from everywhere into Victoria. If they can’t hold down a job or relapse, they end up in our parks.",2022-04-11 15:43:08.668693,1512242267066535938,2022-04-08 01:33:47+00:00,1,0,10,1,CKXS,3897,Victoria Homeless,Victoria
29,@jpt16 @CharlesBodi @vichighsd61 @CityOfVictoria @vicpdcanada @WeAreNorthPark @Adam_Stirling @Stephen_Andrew @BC_Housing Is anyone keeping track of how the homeless housing initiative is going in Victoria? How many folks have reached a state of stability? How many are getting clean? How many have been kicked out? In other words - how successful has it been?,2022-04-11 15:43:08.669358,1512234374493720576,2022-04-08 01:02:25+00:00,2,0,3,0,LameLoonyLeft,1175,Victoria Homeless,Victoria
