text,scrape_time,tweet_id,created_at,reply_count,quote_count,like_count,retweet_count,geo_full_name,geo_id,geo_bbox,tweet_coordinate,username,num_followers,search_keywords,search_neighbourhood
Our Street Crime Unit made three arrests last week stemming from a criminally active residence on Vincent Ave. Read more here: https://t.co/ptEJ1psXz0,2022-04-27 11:06:18.179422,1517652280090107904,2022-04-22 23:51:14+00:00,0,1,8,1,,,,,SaanichPolice,21371,(from:saanichpolice OR from:ourplacesociety OR from:viccoolaid OR from:pacificahousing OR from:cspc_victoria) (the aboriginal coalition to end homelessness OR our place society OR aids vancouver island OR the existence project OR salvation army victoria OR red cedar café OR subsidized housing OR community plan to end homelessness OR harm reduction OR front line worker OR front line OR front line worker OR crime OR camp OR homeless OR affordable OR evicted OR drug use OR overdosed) lang:en -is:retweet,individual
"For Mother's Day, choose a lasting, meaningful gift in support of Mom and your community. Celebrate those special to you while supporting the vital programs and services of Our Place. Contact us right away to commission a portrait. All money raised supports OPS programs. https://t.co/OVJbFW2FSD",2022-04-27 11:06:19.344148,1519067693088972811,2022-04-26 21:35:35+00:00,0,0,1,0,,,,,ourplacesociety,3482,"(from:saanichpolice OR from:ourplacesociety OR from:viccoolaid OR from:pacificahousing OR from:cspc_victoria) (aceh OR ops OR avi OR the john howard society of victoria OR substance uvic OR encampment OR peer housing support OR coordinated access ""and"" assessment OR safe supply OR frontline OR frontline worker OR healthcare OR violence OR camper OR homelessness OR affordable housing OR eviction OR social housing OR social structure) lang:en -is:retweet",individual
"CFAX: Our Place's Grant McKenzie says the uptick of random attacks of people in Victoria has been years in the making with people not getting proper care, assessments, housing &amp; complex care https://t.co/cHwgrEA8di #yyj",2022-04-27 11:06:20.528730,1517239468951957504,2022-04-21 20:30:53+00:00,0,0,3,2,,,,,ourplacesociety,3482,(from:saanichpolice OR from:ourplacesociety OR from:viccoolaid OR from:pacificahousing OR from:cspc_victoria) (greater victoria coalition to end homelessness OR cool aid society OR the victoria foundation OR anawim house OR rentsmart OR low income OR peer housing support program OR reaching home OR service provider OR front line OR front line worker OR complex care OR thief OR tent OR camper OR substance use OR evict OR povertypimps OR social problem) lang:en -is:retweet,individual
"If you are looking for ways to support women fleeing violence,
visit The Body Shop Hillside - they have a promo sale: buy 1 get 1 free. with an option to donate a free item to The Cridge Transition 
House for Women. 
Promo ends May 8th.
Thank you! &lt;3 https://t.co/CdHg3Aa5qY",2022-04-27 11:06:26.195862,1519285365349228549,2022-04-27 12:00:32+00:00,0,0,3,0,,,,,TheCridgeCentre,3268,"(from:need_2 OR from:safervic OR from:umbrellasociety OR from:thecridgecentre OR from:mustardseedvic) (aceh OR ops OR avi OR the john howard society of victoria OR substance uvic OR encampment OR peer housing support OR coordinated access ""and"" assessment OR safe supply OR frontline OR frontline worker OR healthcare OR violence OR camper OR homelessness OR affordable housing OR eviction OR social housing OR social structure) lang:en -is:retweet",individual
"🎙️ The Victoria Foundation’s Vital Victoria podcast is back! Tune in to our first episode with host @lucky_budd in conversation with two #nursepractitioners about their role in our community ➡️ https://t.co/gLOSqC1KCc

#yyj #newpodcastepisode https://t.co/gmuKQfqSso",2022-04-27 11:06:33.050221,1518992268249616384,2022-04-26 16:35:52+00:00,0,1,7,3,,,,,VicFoundation,8579,"(from:avivanisle OR from:vicfoundation OR from:mydvba OR from:tourismvi OR from:victoriavisitor) (aceh OR ops OR avi OR the john howard society of victoria OR substance uvic OR encampment OR peer housing support OR coordinated access ""and"" assessment OR safe supply OR frontline OR frontline worker OR healthcare OR violence OR camper OR homelessness OR affordable housing OR eviction OR social housing OR social structure) lang:en -is:retweet",individual
"#werehiring a Casual Peer Project Educator at our Westshore location - accepting applications until this Sunday, the 24th. Feel free to get in touch, and spread the word!
Check out https://t.co/PPIoQx50uD for more info.
#victoriajobs #harmreductionjobs #casualjobs #communityjobs https://t.co/vWFXwkFsb3",2022-04-27 11:06:33.050221,1516925681422278663,2022-04-20 23:44:00+00:00,0,0,1,1,,,,,AVIVanIsle,2872,"(from:avivanisle OR from:vicfoundation OR from:mydvba OR from:tourismvi OR from:victoriavisitor) (aceh OR ops OR avi OR the john howard society of victoria OR substance uvic OR encampment OR peer housing support OR coordinated access ""and"" assessment OR safe supply OR frontline OR frontline worker OR healthcare OR violence OR camper OR homelessness OR affordable housing OR eviction OR social housing OR social structure) lang:en -is:retweet",individual
"❗ The Victoria Foundation is hiring ❗

💡 We're looking for a talented and energetic Strategic Initiatives Associate. Please check out the job description for details and apply via 
@tallskyhrgroup: https://t.co/U2lNmHWEC4

Thank you in advance to all who apply! #yyjjobs https://t.co/sWKeu518P7",2022-04-27 11:06:34.263632,1519339686979792897,2022-04-27 15:36:23+00:00,0,0,1,0,,,,,VicFoundation,8579,(from:avivanisle OR from:vicfoundation OR from:mydvba OR from:tourismvi OR from:victoriavisitor) (greater victoria coalition to end homelessness OR cool aid society OR the victoria foundation OR anawim house OR rentsmart OR low income OR peer housing support program OR reaching home OR service provider OR front line OR front line worker OR complex care OR thief OR tent OR camper OR substance use OR evict OR povertypimps OR social problem) lang:en -is:retweet,individual
"Drugs, housing, dry cells:  Well said, Mr. Hartman.  Dry cells are inhumane, found to violate the Charter, and require a more profound fix than can be found buried in a Budget   https://t.co/4LIlJD7Qga",2022-04-27 11:06:43.285100,1517114088555483138,2022-04-21 12:12:39+00:00,0,0,3,2,,,,,JohnHoward_Can,6218,(from:soap4hopeyyj OR from:johnhoward_can OR from:houseanawim OR from:togethervic OR from:mhsvictoria) (bc housing OR vreb OR umbrella society OR dvba OR the backpack project OR makola housing society OR emergency housing OR people with lived experience OR pit count OR front line OR front line worker OR front line OR poverty OR stolen OR housing OR tent OR addicted OR alcoholic OR collusion) lang:en -is:retweet,individual
"@SloopJT Likely the demand for drugs has increased due to the COVID isolation and warehousing.  Very little effort is given to demand reduction by prisoners either through effective treatment or activities that improve well-being, like connection to family, community, volunteers.",2022-04-27 11:06:44.482530,1517850271564681216,2022-04-23 12:57:59+00:00,0,0,3,0,,,,,JohnHoward_Can,6218,(from:soap4hopeyyj OR from:johnhoward_can OR from:houseanawim OR from:togethervic OR from:mhsvictoria) (island health OR peers victoria resources society OR the mustard seed OR pacifica housing OR tenant action group victoria OR habitat for humanity victoria OR affordable housing OR person experiencing homelessness OR pit OR frontline worker OR frontline OR frontline worker OR poor OR encampment OR low-income OR unhoused OR drugs OR drugs OR overdose) lang:en -is:retweet,individual
"Inmate at Millhaven Institution near Kingston, Ont. charged with murder for death of 70-year old prisoner with record of child sexual abuse: Record would have made victim vulnerable in prison: What was done to protect him + prevent crime? https://t.co/LQCcYWGuYJ",2022-04-27 11:06:45.684843,1517847936767602703,2022-04-23 12:48:43+00:00,0,0,2,2,,,,,JohnHoward_Can,6218,(from:soap4hopeyyj OR from:johnhoward_can OR from:houseanawim OR from:togethervic OR from:mhsvictoria) (the aboriginal coalition to end homelessness OR our place society OR aids vancouver island OR the existence project OR salvation army victoria OR red cedar café OR subsidized housing OR community plan to end homelessness OR harm reduction OR front line worker OR front line OR front line worker OR crime OR camp OR homeless OR affordable OR evicted OR drug use OR overdosed) lang:en -is:retweet,individual
