,text,scrape_time,tweet_id,created_at,reply_count,quote_count,like_count,retweet_count,geo_full_name,geo_id,geo_bbox,tweet_coordinate,username,num_followers,search_keywords,search_neighbourhood
3075,RCMP officers clearing out old-growth logging protest camp in Nitinaht https://t.co/fiCID20ucW,2022-07-04 13:01:07.845726,1542225535874478080,2022-06-29 19:16:35+00:00,2,1,10,2,,,,,CHEK_News,53108,(from:cfax1070 OR from:chek_news OR from:ctvnewsvi OR from:timescolonist OR from:adam_stirling) (burnside gorge neighbourhood association OR greater victoria acting together OR ops OR solid outreach OR the john howard society of victoria OR vibrant victoria OR victoria tenant action group OR peer housing support program OR harm reduction OR front line worker OR complex care OR camp OR tent OR evict OR overdosed) lang:en -is:retweet,individual
3076,"@Stew16art @CityOfVictoria The cost to build , can only do luxury, Affordable?? That can only be done with tax payers monies.",2022-07-04 13:01:10.238337,1544013569603534848,2022-07-04 17:41:36+00:00,0,0,1,0,,,,,Buckleygkml,160,(from:charlesbodi OR from:nicolechaland OR from:buckleygkml OR from:darylbassett3 OR from:sarahpottsvic) (aceh OR city of langford OR greater victoria housing society OR peers victoria resources society OR substance uvic OR the victoria foundation OR victoria chamber OR workbc OR people with lived experience OR service provider OR front line OR poverty OR tent OR affordable OR alcoholic OR social problem) lang:en -is:retweet,individual
3077,"@mattdellok Affordable this and that, please let’s plant more money trees it will help climate and keep our taxes at an affordable rate, locally, provincially and federally!,,,,,",2022-07-04 13:01:10.238337,1544005551935262721,2022-07-04 17:09:44+00:00,0,0,1,0,,,,,CharlesBodi,764,(from:charlesbodi OR from:nicolechaland OR from:buckleygkml OR from:darylbassett3 OR from:sarahpottsvic) (aceh OR city of langford OR greater victoria housing society OR peers victoria resources society OR substance uvic OR the victoria foundation OR victoria chamber OR workbc OR people with lived experience OR service provider OR front line OR poverty OR tent OR affordable OR alcoholic OR social problem) lang:en -is:retweet,individual
3079,"City of Victoria has more signage pollution, Wharf street a mess of signs !,, so sad.@CityOfVictoria",2022-07-04 13:01:11.484574,1544004384597504000,2022-07-04 17:05:06+00:00,3,0,2,1,,,,,Buckleygkml,160,(from:charlesbodi OR from:nicolechaland OR from:buckleygkml OR from:darylbassett3 OR from:sarahpottsvic) (aids vancouver island OR city of victoria OR habitat for humanity victoria OR quadra village community centre OR tenant action group victoria OR the victoria real estate board OR victoria family court OR encampment OR person experiencing homelessness OR frontline OR frontline worker OR poor OR shelter OR affordable housing OR drugs) lang:en -is:retweet,individual
3082,"@Covid_Stinks @Jim_Syke @iceblueaccent The pickleballers would get stabbed

Drug users sleep during the day

They'd be so upset that they were being woken up between 10 am and 4 pm.

It interferes with their survival crime from 10 pm to 4 am",2022-07-04 13:01:12.759553,1543381404116869120,2022-07-02 23:49:36+00:00,1,1,3,0,,,,,CharlesBodi,764,(from:charlesbodi OR from:nicolechaland OR from:buckleygkml OR from:darylbassett3 OR from:sarahpottsvic) (avi OR cool aid society OR homelessness services association of bc OR red cedar café OR the backpack project OR vreb OR victoria harbour cats OR low income OR community plan to end homelessness OR front line OR front line worker OR crime OR housing OR substance use OR drug use) lang:en -is:retweet,individual
3083,"@gfaller6 Looks like a Turf War to me

The Burnside-Gorge Goofs against the Hillside-Quadra Adults

The graffiti Goofs leave the Comfort Inn, steal paint from the Dollar Store, and commit the crime

The Adults buy paint and fix the damage",2022-07-04 13:01:12.760559,1543260086876770304,2022-07-02 15:47:31+00:00,2,0,2,0,,,,,NicoleChaland,1226,(from:charlesbodi OR from:nicolechaland OR from:buckleygkml OR from:darylbassett3 OR from:sarahpottsvic) (avi OR cool aid society OR homelessness services association of bc OR red cedar café OR the backpack project OR vreb OR victoria harbour cats OR low income OR community plan to end homelessness OR front line OR front line worker OR crime OR housing OR substance use OR drug use) lang:en -is:retweet,individual
3084,"Victoria council wants sexualized-violence training included in liquor course (Times Colonist), Jul 02, 2022 
How about when allowing tenting in our parks, or at the work place Lisa?… https://t.co/zUG9aLRxIg",2022-07-04 13:01:13.975421,1543312236470362112,2022-07-02 19:14:45+00:00,0,1,5,2,,,,,Buckleygkml,160,"(from:charlesbodi OR from:nicolechaland OR from:buckleygkml OR from:darylbassett3 OR from:sarahpottsvic) (anawim house OR district of north saanich OR island health OR rentsmart OR the cridge centre for the family OR town of view royal OR victoria native friendship centre OR low-income OR coordinated access ""and"" assessment OR frontline worker OR frontline OR violence OR low-income OR addict OR social housing) lang:en -is:retweet",individual
3085,"@DuckBrownCR @Daniel_Plante @KristaLoughton @IslandFamily5 @Covid_Stinks @CalgaryBluesky @edmonton_anne Coalition recently did a Durvey in Burnside Gorge

They went door to door at the shelters/Temporary Housing Facilities

They never contacted the residents of the community, instead they posts on social media that the survey was happening

The data is flawed, due to flawed process",2022-07-04 13:01:13.975421,1542130303895887872,2022-06-29 12:58:10+00:00,1,0,4,0,,,,,CharlesBodi,764,"(from:charlesbodi OR from:nicolechaland OR from:buckleygkml OR from:darylbassett3 OR from:sarahpottsvic) (anawim house OR district of north saanich OR island health OR rentsmart OR the cridge centre for the family OR town of view royal OR victoria native friendship centre OR low-income OR coordinated access ""and"" assessment OR frontline worker OR frontline OR violence OR low-income OR addict OR social housing) lang:en -is:retweet",individual
3086,"""Fiscal restraints are the reality of any organization

in an ideal world, we wouldn't have these restraints

if the most urgent issue is the well-being of officers on the front line

if there are finite resources, what would be prioritized?"" https://t.co/2yQvW5krXK",2022-07-04 13:01:15.186911,1542140453625151489,2022-06-29 13:38:30+00:00,11,3,9,0,,,,,CharlesBodi,764,(from:charlesbodi OR from:nicolechaland OR from:buckleygkml OR from:darylbassett3 OR from:sarahpottsvic) (aryze developments OR district of saanich OR literacy victoria OR restorative justice victoria OR the downtown victoria business association OR township of esquimalt OR victoria placemaking OR emergency housing OR reaching home OR front line worker OR front line OR thief OR homeless OR addicted OR povertypimps) lang:en -is:retweet,individual
3087,"Someone who lives across the street from @BeaconSave in the 100-blk of Douglas St contacted me around 9:30 pm saying someone was tripping out on drugs

Possibly the same person. https://t.co/IxwqSq9yso",2022-07-04 13:01:16.443994,1542308780108439552,2022-06-30 00:47:22+00:00,1,0,5,1,,,,,CharlesBodi,764,(from:charlesbodi OR from:nicolechaland OR from:buckleygkml OR from:darylbassett3 OR from:sarahpottsvic) (bc housing OR downtown victoria business association OR makola housing society OR rotary club of victoria OR dvba OR umbrella society OR victoria ready OR affordable housing OR point in time OR frontline OR frontline worker OR theft OR homelessness OR drugs OR collude) lang:en -is:retweet,individual
