,text,scrape_time,tweet_id,created_at,reply_count,quote_count,like_count,retweet_count,geo,geo_full_name,geo_id,username,num_followers,search_keywords,search_neighbourhood
20,"@LadyOfTheOcean1 @Flattielover @Synyster63 @KsLiberal @Bigteethyouhave @Frdmlvr3691 @DaniTrump2020 @TommyD07868371 @Saggit95 @jerbear714 @Vickie627 @donnnie @ShellyRKirchoff @akuscg @gopisdirty @PalusoSonny @SpongebobBirth @TheDaveWeinbaum @BC_Missy @victoria_roark @NathanBronson7 @Silver_Strike @skeeduu @PridgeWessea @NatForTrump2024 @Jetson77 @PhilipEMSkinne1 @newsjunky2 @Kittie_Svengali @SaveThe_Ukraine @sd_usn @JoeBro20802650 @CunningMarshal @PeterBartholo14 @SuP3rK @NanetteDonnelly @VinceGottalotta @mmEyeNewMe @chriscr66024638 @RushvilleRockit @Sembrouthes @giddy_bunny @RonVarney3 @jeff77531528 @Emma34770971 @ItsBT50 @cbessex @CapJ2021 @gurleysgrl @GinniaDivinia Jen Psaki has already confirmed the phones. It's only a matter of time before the rest comes out. 

We have plenty of workers. We need the jobs and pipeline opened back up.

It's more cruel to have them homeless here, where they don't know anyone at all.",2022-04-12 15:59:46.087846,1512921806923042821,2022-04-09 22:34:02+00:00,1,0,3,1,,,,Silver_Strike,322,Victoria Homeless,Victoria
21,"@LadyOfTheOcean1 @Flattielover @DaniTrump2020 @Synyster63 @KsLiberal @Bigteethyouhave @Frdmlvr3691 @TommyD07868371 @Saggit95 @jerbear714 @Vickie627 @donnnie @ShellyRKirchoff @akuscg @gopisdirty @PalusoSonny @SpongebobBirth @TheDaveWeinbaum @BC_Missy @victoria_roark @NathanBronson7 @Silver_Strike @skeeduu @PridgeWessea @NatForTrump2024 @Jetson77 @PhilipEMSkinne1 @newsjunky2 @Kittie_Svengali @SaveThe_Ukraine @sd_usn @JoeBro20802650 @CunningMarshal @PeterBartholo14 @SuP3rK @NanetteDonnelly @VinceGottalotta @mmEyeNewMe @chriscr66024638 @RushvilleRockit @Sembrouthes @giddy_bunny @RonVarney3 @jeff77531528 @Emma34770971 @ItsBT50 @cbessex @CapJ2021 @gurleysgrl @GinniaDivinia Sorry, people should remain in Mexico until they have gone through the process. Charity begins at home, and we have too many who are struggling and homeless.

I'm amazed at how many Hispanic homeless are in a city nearby. Many illegals who come here end up that way.",2022-04-12 15:59:46.087846,1512919518477271040,2022-04-09 22:24:56+00:00,5,0,8,3,,,,wendihouse22,790,Victoria Homeless,Victoria
22,@LadyOfTheOcean1 @Flattielover @Synyster63 @KsLiberal @Bigteethyouhave @Frdmlvr3691 @DaniTrump2020 @TommyD07868371 @Saggit95 @jerbear714 @Vickie627 @donnnie @ShellyRKirchoff @akuscg @gopisdirty @PalusoSonny @SpongebobBirth @TheDaveWeinbaum @BC_Missy @victoria_roark @NathanBronson7 @Silver_Strike @skeeduu @PridgeWessea @NatForTrump2024 @Jetson77 @PhilipEMSkinne1 @newsjunky2 @Kittie_Svengali @SaveThe_Ukraine @sd_usn @JoeBro20802650 @CunningMarshal @PeterBartholo14 @SuP3rK @NanetteDonnelly @VinceGottalotta @mmEyeNewMe @chriscr66024638 @RushvilleRockit @Sembrouthes @giddy_bunny @RonVarney3 @jeff77531528 @Emma34770971 @ItsBT50 @cbessex @CapJ2021 @gurleysgrl @GinniaDivinia The cruel part is allowing them to come here and have a free phone and a stipend while parks and underpasses and lakes and empty fields are filling up with the homeless.,2022-04-12 15:59:46.087846,1512908375364976648,2022-04-09 21:40:39+00:00,1,0,0,0,,,,NanetteDonnelly,3449,Victoria Homeless,Victoria
23,@Laceybe52576557 @KtDales @coxey3492 @JClerides @JeanetteAshe @kennedystewart Queen Vic on 3rd is a couple of hundred meters from a supportive housing at 1st and Victoria and a homeless shelter.,2022-04-12 15:59:46.087846,1512832957358088192,2022-04-09 16:40:58+00:00,1,0,0,0,,,,Adam_Stirling,9631,Victoria Homeless,Victoria
24,@RedParker44 @jerryteixeira I recognize that Victoria. In many cities in Canada the social services provide a stipend to the homeless. Last I know it was like $18 a week? Or that’s what it was in Ottawa.,2022-04-12 15:59:46.087846,1512776764421980160,2022-04-09 12:57:41+00:00,0,0,0,0,,,,iceblueaccent,2397,Victoria Homeless,Victoria
25,"@SnoopDogg ""Victoria"" a homeless girl child, selling for 0.039ETH

https://t.co/47xtpUWE0A https://t.co/WmLyD7WcFY",2022-04-12 15:59:46.087846,1512716628512976900,2022-04-09 08:58:43+00:00,0,0,0,0,,,,InfiNorth,188,Victoria Homeless,Victoria
26,"@Adam_Stirling It’s VERY believable, Adam. The Homeless Victoria crew were just waiting for decent weather … those who’re tenting now were (AGAIN) using us over the winter for free warm shelte … now that it’s warmer, they’ll be allowed to steal our Parks again … @Stephen_Andrew @TogetherVic",2022-04-12 15:59:46.087846,1512657283867557889,2022-04-09 05:02:54+00:00,0,0,1,0,,,,therealhaitian1,1928,Victoria Homeless,Victoria
27,"Lucy and her husband organised a 'Ladies Night' raffle in memory of their beloved niece Victoria, who sadly passed away from epilepsy in 2019. They raised a brilliant £300 for Epilepsy Research UK and a Southampton voluntary group helping the homeless: https://t.co/UYV287lSPM https://t.co/s6Z6Uwqc07",2022-04-12 15:59:46.087846,1512420640044863488,2022-04-08 13:22:34+00:00,0,0,7,1,,,,amywhitestripe,150,Victoria Homeless,Victoria
28,"@Silver_Strike @Flattielover @gopisdirty @VinceGottalotta @KsLiberal @jerbear714 @LadyOfTheOcean1 @Vickie627 @akuscg @SaveThe_Ukraine @Frdmlvr3691 @NathanBronson7 @MadeOnKrypton @NatForTrump2024 @PridgeWessea @newsjunky2 @Bigteethyouhave @PhilipEMSkinne1 @Jetson77 @skeeduu @Synyster63 @PalusoSonny @Kittie_Svengali @sd_usn @JoeBro20802650 @victoria_roark @NanetteDonnelly @mmEyeNewMe @RushvilleRockit @Sembrouthes @giddy_bunny @RonVarney3 @jeff77531528 @ItsBT50 @cbessex @CapJ2021 @gurleysgrl @GinniaDivinia @Annie20554592 @BC_Missy @BernFost1 @SpongebobBirth @WisePaxCat @IvankaTrump WTF are you talking about?

Is that what goes on with the homeless in your country?",2022-04-12 15:59:46.087846,1512397611688419330,2022-04-08 11:51:04+00:00,1,0,1,0,,,,GenderReformist,9,Victoria Homeless,Victoria
29,"@Flattielover @gopisdirty @VinceGottalotta @KsLiberal @jerbear714 @LadyOfTheOcean1 @Vickie627 @akuscg @SaveThe_Ukraine @Frdmlvr3691 @ShellyRKirchoff @NathanBronson7 @MadeOnKrypton @NatForTrump2024 @PridgeWessea @newsjunky2 @Bigteethyouhave @PhilipEMSkinne1 @Jetson77 @skeeduu @Synyster63 @PalusoSonny @Kittie_Svengali @sd_usn @JoeBro20802650 @victoria_roark @NanetteDonnelly @mmEyeNewMe @RushvilleRockit @Sembrouthes @giddy_bunny @RonVarney3 @jeff77531528 @ItsBT50 @cbessex @CapJ2021 @gurleysgrl @GinniaDivinia @Annie20554592 @BC_Missy @BernFost1 @SpongebobBirth @WisePaxCat @IvankaTrump Many of them are like a journalist who wants to talk about how homeless people are being beaten on the streets, so they pay someone to beat them and then cry in front of the camera about the atrocities being committed against the homeless.",2022-04-12 15:59:46.087846,1512397009092759552,2022-04-08 11:48:40+00:00,1,0,1,0,,,,resurrectionbae,49,Victoria Homeless,Victoria
